keyword,count
複製,5
國寶,3
重要,3
古物,3
原件,2
機關,2
保存,2
計畫,2
構,1
每年,1
狀況,1
目的,1
相關,1
研究,1
並應,1
紀錄,1
時間,1
藝術,1
資料,1
資訊,1
風格,1
（,1
材料,1
提出,1
方法,1
包括,1
主管,1
作者,1
保管,1
備查,1
內容,1
前項,1
創作,1
參考,1
數量,1
報,1
年代,1
年底,1
彙整,1
應由原,1
技術,1
中央,1
）,1
